variables,units,values,description
assembly.blade_ref_axis_user,m,[],"2D array of the coordinates (x,y,z) of the blade reference axis, defined along blade span. The coordinate system is the one of BeamDyn: it is placed at blade root with x pointing the suction side of the blade, y pointing the trailing edge and z along the blade span. A standard configuration will have negative x values (prebend), if swept positive y values, and positive z values."
assembly.rotor_diameter_user,m,[242.23775645],Diameter of the rotor specified by the user. It is defined as two times the blade length plus the hub diameter.
assembly.hub_radius,m,[0.],Radius of the hub. It defines the distance of the blade root from the rotor center along the coned line.
assembly.tower_ref_axis_user,m,"[[  0.      0.     15.   ]
 [  0.      0.     28.   ]
 [  0.      0.     28.001]
 [  0.      0.     41.   ]
 [  0.      0.     41.001]
 [  0.      0.     54.   ]
 [  0.      0.     54.001]
 [  0.      0.     67.   ]
 [  0.      0.     67.001]
 [  0.      0.     80.   ]
 [  0.      0.     80.001]
 [  0.      0.     93.   ]
 [  0.      0.     93.001]
 [  0.      0.    106.   ]
 [  0.      0.    106.001]
 [  0.      0.    119.   ]
 [  0.      0.    119.001]
 [  0.      0.    132.   ]
 [  0.      0.    132.001]
 [  0.      0.    144.582]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
assembly.distance_tt_hub,m,[0.],Vertical distance from tower top to hub center.
assembly.hub_height_user,m,[150.],Height of the hub specified by the user.
tower_grid.ref_axis,m,"[[  0.           0.          15.        ]
 [  0.           0.          28.54354771]
 [  0.           0.          28.54458953]
 [  0.           0.          42.08709543]
 [  0.           0.          42.08813724]
 [  0.           0.          55.63064314]
 [  0.           0.          55.63168496]
 [  0.           0.          69.17419086]
 [  0.           0.          69.17523267]
 [  0.           0.          82.71773857]
 [  0.           0.          82.71878039]
 [  0.           0.          96.26128629]
 [  0.           0.          96.2623281 ]
 [  0.           0.         109.804834  ]
 [  0.           0.         109.80587582]
 [  0.           0.         123.34838172]
 [  0.           0.         123.34942353]
 [  0.           0.         136.89192943]
 [  0.           0.         136.89297125]
 [  0.           0.         150.        ]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
floatingse.member0.s,,[0.    0.1   0.987 1.   ],
floatingse.member0.joint1,m,[  0.   0. -20.],
floatingse.member0.joint2,m,[ 0.  0. 15.],
